"","date","calburned","steps","distance","floors","minsed","minlight","minmod","minintense","activitycal","sleepmin","awakemin","awakings","restmin","sleepeff","Season","sleephours"
"186",2015-11-04,2917,8520,6.33,14,662,191,43,24,1294,345,41,21,386,89.3782383419689,"fall",5.75
"187",2015-11-05,2851,8116,6.03,13,827,228,37,8,1258,383,47,28,431,89.0697674418605,"fall",6.38333333333333
"188",2015-11-06,2820,8268,6.14,14,776,145,75,22,1218,391,23,11,414,94.4444444444444,"fall",6.51666666666667
"189",2015-11-07,3690,14489,10.77,0,525,280,52,68,2285,231,26,15,257,89.8832684824903,"fall",3.85
"190",2015-11-08,3067,9212,6.84,2,508,198,27,53,1510,526,30,17,556,94.6043165467626,"fall",8.76666666666667
"191",2015-11-09,2828,9500,7.06,0,756,218,28,13,1225,369,62,37,440,85.614849187935,"fall",6.15
"192",2015-11-10,3336,11151,8.29,1,705,198,40,79,1799,291,46,26,337,86.3501483679525,"fall",4.85
"193",2015-11-11,2867,12351,9.18,1,981,181,66,24,1353,143,8,5,151,94.7019867549669,"fall",2.38333333333333
"194",2015-11-12,2847,10670,7.93,1,684,162,17,61,1228,503,50,31,553,90.9584086799277,"fall",8.38333333333333
"195",2015-11-13,2460,5574,4.14,1,1209,156,8,16,778,0,0,0,0,NA,"fall",0
"196",2015-11-14,3445,11587,8.61,4,608,159,41,103,1953,524,32,14,556,94.2446043165468,"fall",8.73333333333333
"197",2015-11-15,2853,9499,7.06,2,738,167,28,44,1219,269,36,21,307,88.1967213114754,"fall",4.48333333333333
"198",2015-11-16,3590,13788,10.53,18,978,282,31,61,1990,0,0,0,0,NA,"fall",0
"199",2015-11-17,3792,18361,13.72,33,543,366,73,42,2462,378,32,23,410,92.1951219512195,"fall",6.3
"200",2015-11-18,3222,14055,10.44,10,673,268,53,27,1771,424,31,24,462,93.1868131868132,"fall",7.06666666666667
"201",2015-11-19,3092,11927,8.86,9,726,305,21,37,1650,353,33,26,386,91.4507772020725,"fall",5.88333333333333
"202",2015-11-20,3395,15221,11.31,6,464,316,40,58,2004,444,46,25,490,90.6122448979592,"fall",7.4
"203",2015-11-21,2802,8568,6.42,1,1174,249,3,14,1209,0,0,0,0,NA,"fall",0
"204",2015-11-22,2177,3284,2.44,0,1269,98,3,8,477,0,0,0,0,NA,"fall",0
"205",2015-11-23,3035,9408,6.99,1,682,295,31,14,1552,244,32,16,276,88.4057971014493,"fall",4.06666666666667
"206",2015-11-24,2843,10261,7.62,1,1182,210,2,46,1262,0,0,0,0,NA,"fall",0
"207",2015-11-25,2829,8218,6.11,22,1142,155,50,22,1177,69,2,1,71,97.1830985915493,"fall",1.15
"208",2015-11-26,3076,9760,7.25,13,1130,214,61,30,1502,0,0,0,0,NA,"fall",0
"209",2015-11-27,3242,10769,8,17,725,222,60,42,1711,325,22,17,348,93.6599423631124,"fall",5.41666666666667
"210",2015-11-28,3254,11671,8.7,5,643,375,7,15,1776,404,43,32,448,90.3803131991051,"fall",6.73333333333333
"211",2015-11-29,3247,14444,10.73,14,618,258,39,51,1821,328,33,22,362,90.8587257617729,"fall",5.46666666666667
"212",2015-11-30,4012,23313,17.32,16,550,389,67,75,2743,352,37,24,397,90.4884318766067,"fall",5.86666666666667
"213",2015-12-01,3232,16810,12.49,14,750,152,9,97,1618,275,31,14,306,89.8692810457516,"winter",4.58333333333333
"214",2015-12-02,3125,10745,8.01,10,634,174,48,62,1559,398,44,33,442,90.0452488687783,"winter",6.63333333333333
"215",2015-12-03,3165,10784,8.04,14,774,201,25,68,1600,271,37,21,308,87.987012987013,"winter",4.51666666666667
"216",2015-12-04,2835,10740,8.08,11,1100,146,39,52,1271,0,0,0,0,NA,"winter",0
"217",2015-12-05,2872,8531,6.36,0,723,325,0,0,1354,268,8,4,276,97.1014492753623,"winter",4.46666666666667
"218",2015-12-06,3072,12738,9.46,10,811,244,45,35,1579,196,19,7,215,91.1627906976744,"winter",3.26666666666667
"219",2015-12-07,3107,13520,10.07,13,672,261,13,50,1603,232,11,6,243,95.4732510288066,"winter",3.86666666666667
"220",2015-12-08,3801,15884,11.83,2,962,248,25,123,2393,0,0,0,0,NA,"winter",0
"221",2015-12-09,3062,10026,7.45,17,803,204,29,38,1449,318,38,31,369,89.3258426966292,"winter",5.3
"222",2015-12-10,3044,11868,8.84,17,1190,170,26,54,1411,0,0,0,0,NA,"winter",0
"223",2015-12-11,3082,12381,9.22,17,1096,212,30,52,1503,0,0,0,0,NA,"winter",0
"224",2015-12-12,2766,7157,5.32,11,605,290,0,0,1216,464,58,35,522,88.8888888888889,"winter",7.73333333333333
"225",2015-12-13,2787,7055,5.24,2,690,248,19,6,1182,279,21,20,303,93,"winter",4.65
"226",2015-12-14,2831,9348,6.99,18,827,179,22,42,1229,321,39,21,361,89.1666666666667,"winter",5.35
"227",2015-12-15,2711,8566,6.39,15,898,137,28,33,1038,242,12,6,254,95.2755905511811,"winter",4.03333333333333
"228",2015-12-16,2714,9786,7.27,20,1118,159,29,28,1110,102,4,2,106,96.2264150943396,"winter",1.7
"229",2015-12-17,2709,8371,6.22,18,1069,146,31,24,1050,161,9,4,170,94.7058823529412,"winter",2.68333333333333
"230",2015-12-18,2917,9428,7.01,10,1141,220,43,21,1331,0,0,0,0,NA,"winter",0
"231",2015-12-19,3110,13742,10.21,6,579,357,15,22,1734,440,42,22,482,91.2863070539419,"winter",7.33333333333333
"232",2015-12-20,3391,15636,11.73,2,550,316,56,23,1973,339,48,28,387,87.5968992248062,"winter",5.65
"233",2015-12-21,3145,12778,9.49,15,664,313,42,6,1678,388,16,10,404,96.039603960396,"winter",6.46666666666667
"234",2015-12-22,2636,7378,5.48,12,838,176,33,12,1044,419,19,11,438,95.662100456621,"winter",6.98333333333333
"235",2015-12-23,1789,0,0,0,1440,0,0,0,0,0,0,0,0,NA,"winter",0
"236",2015-12-24,2573,6452,4.79,0,1217,223,0,0,962,0,0,0,0,NA,"winter",0
"237",2015-12-25,2808,7837,5.82,0,663,332,0,0,1311,308,49,27,357,86.2745098039216,"winter",5.13333333333333
"238",2015-12-26,2626,6504,4.83,0,588,282,0,0,1089,488,46,27,534,91.3857677902622,"winter",8.13333333333333
"239",2015-12-27,2604,6444,4.84,1,746,252,0,0,1030,326,39,24,365,89.3150684931507,"winter",5.43333333333333
"240",2015-12-28,2845,7845,5.83,2,686,337,0,0,1359,207,31,18,238,86.9747899159664,"winter",3.45
"241",2015-12-29,3135,12260,9.11,11,636,375,3,26,1718,242,10,6,252,96.031746031746,"winter",4.03333333333333
"242",2015-12-30,3050,12154,9.05,9,617,276,6,45,1567,448,58,33,506,88.5375494071146,"winter",7.46666666666667
"243",2015-12-31,2856,7801,5.8,0,577,362,0,0,1394,541,31,13,572,94.5804195804196,"winter",9.01666666666667
"244",2016-01-01,2992,10460,7.92,0,685,375,0,0,1558,278,15,14,295,94.8805460750853,"winter",4.63333333333333
"245",2016-01-02,3265,13837,10.33,7,601,339,15,36,1841,316,39,19,355,89.0140845070423,"winter",5.26666666666667
"246",2016-01-03,3090,12517,9.3,11,1034,272,9,49,1566,0,0,0,0,NA,"winter",0
"247",2016-01-04,3116,10366,7.7,16,650,235,53,30,1590,380,52,31,432,87.962962962963,"winter",6.33333333333333
"248",2016-01-05,3241,12127,9.13,16,682,284,47,28,1760,297,31,19,328,90.5487804878049,"winter",4.95
"249",2016-01-06,2992,11327,8.42,14,613,314,5,32,1530,354,43,22,397,89.1687657430731,"winter",5.9
"250",2016-01-07,3146,11098,8.25,15,720,247,53,30,1630,336,16,8,352,95.4545454545455,"winter",5.6
"251",2016-01-08,3174,12395,9.23,2,567,405,7,8,1812,306,17,10,323,94.7368421052632,"winter",5.1
"252",2016-01-09,2615,6643,4.94,0,676,283,0,0,1093,396,29,10,425,93.1764705882353,"winter",6.6
"253",2016-01-10,2711,8846,6.57,9,1167,183,36,29,1197,0,0,0,0,NA,"winter",0
"254",2016-01-11,3013,9642,7.16,15,758,247,44,24,1472,327,18,11,345,94.7826086956522,"winter",5.45
"255",2016-01-12,2993,9982,7.42,8,839,222,30,26,1387,254,36,18,290,87.5862068965517,"winter",4.23333333333333
"256",2016-01-13,2627,6613,4.91,11,857,205,13,3,1020,423,13,7,436,97.0183486238532,"winter",7.05
"257",2016-01-14,3128,12161,9.21,11,719,198,34,60,1560,345,29,19,374,92.2459893048128,"winter",5.75
"258",2016-01-15,3361,14837,11.37,11,687,210,58,71,1917,391,39,22,430,90.9302325581395,"winter",6.51666666666667
"259",2016-01-16,3379,16759,12.59,7,589,333,23,59,1977,400,41,27,441,90.702947845805,"winter",6.66666666666667
"260",2016-01-17,2878,9602,7.26,0,547,279,4,15,1314,434,31,26,466,93.3333333333333,"winter",7.23333333333333
"261",2016-01-18,2144,3761,2.79,7,998,99,5,3,467,325,11,5,336,96.7261904761905,"winter",5.41666666666667
"262",2016-01-19,2543,7456,5.6,6,1215,103,22,35,881,0,0,0,0,NA,"winter",0
"263",2016-01-20,3472,16755,12.78,10,551,331,24,51,2073,468,37,24,507,92.6732673267327,"winter",7.8
"264",2016-01-21,3218,11937,8.96,12,699,254,57,32,1729,336,55,30,391,85.9335038363171,"winter",5.6
"265",2016-01-22,3426,14577,10.96,5,519,391,34,22,2110,458,63,36,521,87.9078694817658,"winter",7.63333333333333
"266",2016-01-23,3615,17541,13.12,9,570,358,50,45,2286,339,47,28,386,87.8238341968912,"winter",5.65
"267",2016-01-24,1801,39000,0.03,0,1076,5,0,0,16,342,48,31,390,87.6923076923077,"winter",5.7
"268",2016-01-25,2420,6610,4.91,10,1270,93,24,26,756,0,0,0,0,NA,"winter",0
"269",2016-01-26,3066,13073,9.71,18,790,166,52,61,1521,357,35,22,392,91.0714285714286,"winter",5.95
"270",2016-01-27,2886,9997,7.46,9,759,164,52,28,1291,328,37,21,365,89.8630136986301,"winter",5.46666666666667
"271",2016-01-28,3092,10707,7.96,10,753,262,57,18,1592,385,41,27,427,90.3755868544601,"winter",6.41666666666667
"272",2016-01-29,2931,9952,7.39,17,760,233,30,26,1400,248,32,20,280,88.5714285714286,"winter",4.13333333333333
"273",2016-01-30,3034,9774,7.26,0,519,357,16,2,1641,410,26,14,436,94.0366972477064,"winter",6.83333333333333
"274",2016-01-31,2787,6260,4.65,0,671,298,0,0,1277,424,48,28,473,89.8305084745763,"winter",7.06666666666667
"279",2016-02-05,3110,10434,7.75,13,718,243,42,29,1544,401,18,14,420,95.7040572792363,"winter",6.68333333333333
"281",2016-02-06,3177,12578,9.4,0,563,388,10,11,1784,350,29,19,380,92.3482849604222,"winter",5.83333333333333
"282",2016-02-07,3182,15373,11.7,12,599,273,10,62,1729,316,15,7,331,95.4682779456193,"winter",5.26666666666667
"283",2016-02-08,3206,12327,9.24,8,699,278,28,30,1680,376,50,30,426,88.2629107981221,"winter",6.26666666666667
"284",2016-02-09,2872,10457,7.82,14,847,181,15,41,1252,342,41,21,383,89.2950391644909,"winter",5.7
"285",2016-02-10,2662,9900,7.43,21,1237,156,6,41,1098,0,0,0,0,NA,"winter",0
"286",2016-02-11,2899,8966,6.66,14,802,235,21,20,1299,333,22,15,355,93.8028169014084,"winter",5.55
"287",2016-02-12,2816,8353,6.21,19,732,219,17,26,1187,322,26,14,348,92.5287356321839,"winter",5.36666666666667
"288",2016-02-13,3235,13907,10.36,0,551,357,15,15,1813,448,55,29,503,89.065606361829,"winter",7.46666666666667
"289",2016-02-14,3289,14183,10.54,13,617,374,45,12,1941,264,28,20,293,90.4109589041096,"winter",4.4
"290",2016-02-15,2751,8453,6.28,11,1304,124,8,4,589,0,0,0,0,NA,"winter",0
"291",2016-02-16,2927,7995,5.98,15,802,231,34,16,1347,305,27,16,334,91.8674698795181,"winter",5.08333333333333
"292",2016-02-17,2783,6707,4.98,10,913,174,36,19,1131,309,12,7,321,96.2616822429907,"winter",5.15
"293",2016-02-18,2804,8109,6.1,13,1212,143,42,33,1146,0,0,0,0,NA,"winter",0
"294",2016-02-19,2815,11971,9.23,11,865,179,3,51,1234,317,17,9,334,94.9101796407186,"winter",5.28333333333333
"295",2016-02-20,2960,11371,8.45,0,457,327,14,19,1533,383,35,31,419,91.6267942583732,"winter",6.38333333333333
"296",2016-02-21,2038,2190,1.63,0,954,93,0,0,351,347,45,32,393,88.5204081632653,"winter",5.78333333333333
"297",2016-02-22,2594,6592,4.93,10,1234,155,23,14,958,0,0,0,0,NA,"winter",0
"298",2016-02-23,2841,8624,6.41,10,739,193,36,25,1220,243,23,9,266,91.3533834586466,"winter",4.05
"299",2016-02-24,2933,8307,6.17,12,762,195,25,37,1305,437,22,9,459,95.2069716775599,"winter",7.28333333333333
"300",2016-02-25,2816,7941,5.9,9,878,142,47,32,1184,382,35,21,417,91.6067146282974,"winter",6.36666666666667
"301",2016-02-26,2764,8050,5.98,9,1203,177,40,20,1150,0,0,0,0,NA,"winter",0
"302",2016-02-27,3029,9923,7.37,5,1124,184,25,44,1306,0,0,0,0,NA,"winter",0
"303",2016-02-28,2844,9504,7.15,2,687,283,10,1,1322,262,33,16,295,88.8135593220339,"winter",4.36666666666667
"304",2016-02-29,2612,6847,5.09,10,731,206,20,1,1023,166,14,7,180,92.2222222222222,"winter",2.76666666666667
"305",2016-03-01,3117,11618,8.66,12,776,217,59,29,1584,420,31,26,451,93.1263858093126,"spring",7
"306",2016-03-02,2897,10450,7.76,19,765,199,35,26,1292,327,34,22,361,90.5817174515235,"spring",5.45
"307",2016-03-03,2864,11478,8.69,17,749,167,5,45,1219,420,45,28,465,90.3225806451613,"spring",7
"308",2016-03-04,2996,10650,7.97,13,754,227,31,30,1420,157,10,5,167,94.0119760479042,"spring",2.61666666666667
"309",2016-03-05,2228,3103,2.31,1,1042,155,0,0,572,302,23,15,325,92.9230769230769,"spring",5.03333333333333
"310",2016-03-06,2660,6960,5.2,0,1105,280,0,0,1103,0,0,0,0,NA,"spring",0
"311",2016-03-07,3220,16699,13.4,11,791,158,9,97,1664,348,39,23,387,89.922480620155,"spring",5.8
"312",2016-03-08,3083,14068,11.26,14,824,167,8,65,1469,267,31,18,299,89.5973154362416,"spring",4.45
"313",2016-03-09,3339,18092,14.05,19,1120,243,8,69,1833,0,0,0,0,NA,"spring",0
"314",2016-03-10,3307,18530,14.71,20,793,162,21,100,1766,334,29,18,364,92.0110192837466,"spring",5.56666666666667
"315",2016-03-11,3135,14587,10.86,2,1013,313,14,38,1726,0,0,0,0,NA,"spring",0
"316",2016-03-12,2840,9992,7.45,4,685,339,0,13,1438,275,13,10,288,95.4861111111111,"spring",4.58333333333333
"317",2016-03-13,1790,0,0,0,1440,0,0,0,0,0,0,0,0,NA,"spring",0
"318",2016-03-14,2538,9336,7.4,11,1288,73,4,50,850,0,0,0,0,NA,"spring",0
"319",2016-03-15,3133,15596,12.61,13,782,187,3,77,1557,356,14,5,370,96.2162162162162,"spring",5.93333333333333
"320",2016-03-16,3960,25385,20.45,17,638,254,17,124,2556,368,46,22,414,88.8888888888889,"spring",6.13333333333333
"321",2016-03-17,3150,14577,11.46,17,823,162,10,81,1553,388,14,10,402,96.5174129353234,"spring",6.46666666666667
"322",2016-03-18,3214,16667,13.08,12,832,173,9,90,1647,223,33,17,256,87.109375,"spring",3.71666666666667
"323",2016-03-19,3870,13361,9.93,7,530,418,38,50,2548,435,49,31,484,89.8760330578512,"spring",7.25
"324",2016-03-20,2731,6754,5.02,1,564,315,0,0,1237,383,35,23,427,91.6267942583732,"spring",6.38333333333333
"325",2016-03-21,2464,5424,4.03,10,1047,193,7,2,859,224,20,13,244,91.8032786885246,"spring",3.73333333333333
"326",2016-03-22,3555,17913,13.41,15,593,382,22,55,2243,274,35,26,319,88.673139158576,"spring",4.56666666666667
"327",2016-03-23,3063,14324,10.89,14,669,222,10,59,1542,391,27,13,418,93.5406698564593,"spring",6.51666666666667
"328",2016-03-24,2503,8049,6.03,8,1090,123,3,24,817,254,32,13,286,88.8111888111888,"spring",4.23333333333333
"329",2016-03-25,3052,11122,8.29,0,599,386,9,0,1646,204,10,5,214,95.3271028037383,"spring",3.4
"330",2016-03-26,3021,9570,7.11,1,879,395,0,0,1587,64,5,4,69,92.7536231884058,"spring",1.06666666666667
"331",2016-03-27,2223,4667,3.47,0,889,114,20,2,588,457,54,35,512,89.4324853228963,"spring",7.61666666666667
"332",2016-03-28,1790,0,0,0,1440,0,0,0,0,0,0,0,0,NA,"spring",0
"333",2016-03-29,2648,9781,7.34,12,1230,139,6,39,1009,0,0,0,0,NA,"spring",0
"334",2016-03-30,3768,21383,16.69,17,641,384,23,57,2417,321,40,21,361,88.9196675900277,"spring",5.35
"335",2016-03-31,3512,20109,15.18,21,629,302,35,63,2107,319,25,15,344,92.7325581395349,"spring",5.31666666666667
"336",2016-04-01,2814,11130,8.61,8,900,162,3,54,1176,337,51,23,388,86.8556701030928,"spring",5.61666666666667
"337",2016-04-02,2884,8250,6.13,0,950,314,7,1,1335,78,6,3,85,92.8571428571429,"spring",1.3
"338",2016-04-03,2931,8682,6.45,0,669,355,0,0,1437,315,45,23,360,87.5,"spring",5.25
"339",2016-04-04,3314,17535,13.66,14,881,168,8,102,1731,184,29,16,214,86.3849765258216,"spring",3.06666666666667
"340",2016-04-05,3830,20154,15.05,3,445,471,28,45,2580,425,25,8,450,94.4444444444444,"spring",7.08333333333333
"341",2016-04-06,4112,23286,17.84,19,561,451,28,67,2850,267,34,15,302,88.7043189368771,"spring",4.45
"342",2016-04-07,3048,13004,9.87,14,856,214,3,58,1472,359,14,7,373,96.2466487935657,"spring",5.98333333333333
"343",2016-04-08,3241,13441,10.04,2,449,439,0,0,1874,379,46,24,425,89.1764705882353,"spring",6.31666666666667
"344",2016-04-09,3038,10216,7.59,0,535,390,0,0,1607,507,18,10,525,96.5714285714286,"spring",8.45
"345",2016-04-10,2304,5634,4.19,0,921,92,41,4,659,306,35,22,341,89.7360703812317,"spring",5.1
"346",2016-04-11,3419,17422,13.38,34,674,290,14,61,1928,407,50,26,457,89.0590809628009,"spring",6.78333333333333
"347",2016-04-12,3179,14475,10.92,14,664,291,10,47,1696,354,37,21,391,90.537084398977,"spring",5.9
"348",2016-04-13,3427,17777,13.66,20,696,276,10,80,1967,365,65,31,430,84.8837209302326,"spring",6.08333333333333
"349",2016-04-14,3479,19087,14.65,17,711,221,12,96,1954,278,26,18,304,91.4473684210526,"spring",4.63333333333333
"350",2016-04-15,3501,16290,12.2,12,467,427,25,11,2166,396,50,20,446,88.7892376681614,"spring",6.6
"351",2016-04-16,3342,14252,10.64,6,675,323,60,18,1947,404,67,25,471,85.7749469214437,"spring",6.73333333333333
"352",2016-04-17,2769,8262,6.14,3,1089,302,0,0,1266,0,0,0,0,NA,"spring",0
"353",2016-04-18,3486,19450,15.06,18,860,190,6,98,1926,307,28,12,335,91.6417910447761,"spring",5.11666666666667
"354",2016-04-19,3596,17232,13.61,17,1002,262,4,88,2085,0,0,0,0,NA,"spring",0
"355",2016-04-20,3321,16946,12.93,25,762,238,5,67,1795,411,31,17,442,92.9864253393665,"spring",6.85
"356",2016-04-21,3464,19183,14.67,24,723,218,7,97,1964,341,27,17,368,92.6630434782609,"spring",5.68333333333333
"357",2016-04-22,3328,12963,9.66,10,404,436,14,10,2020,430,62,39,492,87.3983739837398,"spring",7.16666666666667
"358",2016-04-23,2612,6456,4.8,6,782,305,0,0,1135,305,42,28,348,87.8962536023055,"spring",5.08333333333333
"359",2016-04-24,2863,10413,7.73,6,700,269,28,24,1411,375,56,31,431,87.0069605568445,"spring",6.25
"360",2016-04-25,3175,10499,7.8,0,661,430,9,4,1805,237,28,14,265,89.4339622641509,"spring",3.95
"361",2016-04-26,3357,17226,12.97,19,751,185,16,95,1798,360,20,10,380,94.7368421052632,"spring",6
"362",2016-04-27,3631,19784,15.51,25,694,151,26,128,2070,361,49,27,410,88.0487804878049,"spring",6.01666666666667
"363",2016-04-28,4030,25571,19.3,15,606,293,42,129,2711,374,56,34,430,86.9767441860465,"spring",6.23333333333333
"364",2016-04-29,3442,17528,13.36,15,594,239,8,82,1931,348,20,9,368,94.5652173913043,"spring",5.8
"365",2016-04-30,3061,9831,7.3,1,561,414,0,0,1651,454,48,27,502,90.4382470119522,"spring",7.56666666666667
"366",2016-05-01,3331,14262,10.6,5,666,361,21,41,1937,347,41,20,388,89.4329896907217,"spring",5.78333333333333
"367",2016-05-02,2989,13236,9.98,12,770,234,8,38,1477,314,34,23,348,90.2298850574713,"spring",5.23333333333333
"368",2016-05-03,3796,18588,14.13,16,599,275,49,79,2360,377,33,18,410,91.9512195121951,"spring",6.28333333333333
"369",2016-05-04,3525,16382,12.39,16,684,333,10,55,2075,406,21,8,427,95.0819672131148,"spring",6.76666666666667
"370",2016-05-05,3649,21913,16.4,19,701,287,29,90,2249,280,35,15,315,88.8888888888889,"spring",4.66666666666667
"371",2016-05-06,3539,19023,14.79,15,575,298,8,85,2112,370,42,22,412,89.8058252427184,"spring",6.16666666666667
"372",2016-05-07,3040,9526,7.08,2,564,370,13,10,1604,502,57,31,563,89.8032200357782,"spring",8.36666666666667
